iter	Logloss
0	0.6851360438
1	0.6765129261
2	0.6680637917
3	0.6623861908
4	0.6579729624
5	0.6521237083
6	0.6480661406
7	0.6438129839
8	0.639972608
9	0.6365412883
10	0.6336017183
11	0.6305625016
12	0.6275660318
13	0.6254168906
14	0.6233557954
15	0.6215982402
16	0.6194029991
17	0.6180339578
18	0.6159140399
19	0.6143944452
20	0.6129146089
21	0.6111195578
22	0.6095399512
23	0.6080469054
24	0.6072716642
25	0.6062939453
26	0.6051325183
27	0.6041816174
28	0.6034791189
29	0.6026025358
30	0.6015675432
31	0.6007611062
32	0.5997963487
33	0.598806763
34	0.5979610749
35	0.5970642606
36	0.5962499359
37	0.5955401518
38	0.5948847576
39	0.5941833396
40	0.5935305479
41	0.5929436306
42	0.592206287
43	0.5917497551
44	0.5910948655
45	0.5904247256
46	0.5899653762
47	0.5895041518
48	0.5890037506
49	0.58836468
50	0.5877261351
51	0.5871400929
52	0.5866892399
53	0.5861579215
54	0.5854798282
55	0.5848633853
56	0.58426127
57	0.5835266126
58	0.5829916855
59	0.5820227468
60	0.5814230756
61	0.5808680685
62	0.5803003084
63	0.5798706226
64	0.5793981779
65	0.5789702517
66	0.5784860285
67	0.5781116015
68	0.5776653975
69	0.5771524117
70	0.576626669
71	0.576169058
72	0.575788639
73	0.5754289111
74	0.5748777545
75	0.5742837168
76	0.5738017652
77	0.5732959075
78	0.5728644761
79	0.5723799602
80	0.5720248333
81	0.571568052
82	0.5711543717
83	0.5707940099
84	0.5703135582
85	0.5699353034
86	0.5696239755
87	0.5692497826
88	0.5686566395
89	0.5681475054
90	0.5676459001
91	0.567060748
92	0.5665545502
93	0.5658492623
94	0.5652328764
95	0.5647304289
96	0.5642763715
97	0.5637200703
98	0.5631299867
99	0.5625426358
