iter	Passed	Remaining
0	78	7745
1	91	4472
2	99	3220
3	106	2556
4	114	2177
5	121	1903
6	130	1727
7	137	1576
8	145	1467
9	152	1370
10	159	1293
11	166	1222
12	173	1161
13	181	1116
14	189	1073
15	197	1037
16	204	998
17	212	968
18	219	936
19	228	913
20	235	885
21	243	863
22	250	839
23	258	817
24	265	795
25	271	772
26	278	753
27	285	733
28	292	716
29	299	698
30	306	681
31	312	664
32	318	647
33	326	634
34	333	618
35	340	605
36	347	591
37	353	577
38	360	563
39	366	549
40	373	537
41	379	524
42	386	512
43	393	500
44	399	488
45	406	476
46	412	465
47	418	453
48	426	443
49	433	433
50	441	424
51	448	414
52	455	404
53	462	393
54	469	383
55	477	374
56	484	365
57	491	356
58	498	346
59	506	337
60	513	328
61	523	320
62	531	311
63	539	303
64	546	294
65	555	285
66	562	277
67	570	268
68	578	259
69	586	251
70	593	242
71	600	233
72	607	224
73	613	215
74	620	206
75	627	198
76	633	189
77	640	180
78	646	171
79	653	163
80	660	154
81	667	146
82	673	137
83	680	129
84	687	121
85	693	112
86	699	104
87	706	96
88	713	88
89	720	80
90	727	71
91	734	63
92	743	55
93	753	48
94	760	40
95	768	32
96	774	23
97	780	15
98	787	7
99	794	0
