name,height,reach,dob,url
Sijara Eubanks,"5' 4""","67""","Apr 27, 1985",http://ufcstats.com/fighter-details/4234f0097c83fa62
John Kelly,"5' 9""",--,"Aug 02, 1978",http://ufcstats.com/fighter-details/ace83095105dd205
Kurtis Campbell,"5' 9""","72""","Jul 29, 2002",http://ufcstats.com/fighter-details/9d51798e61f2e0c7
Eddie Ruiz,"5' 7""",--,"Jun 10, 1967",http://ufcstats.com/fighter-details/7b9aa973e5c04624
Henry Briones,"5' 8""","69""","Oct 22, 1980",http://ufcstats.com/fighter-details/01fcef7e3d051722
CM Punk,"6' 1""","73""","Oct 26, 1978",http://ufcstats.com/fighter-details/a8c9d16fe2a14d72
Lucas Camacho,"6' 4""","80""","Dec 15, 1992",http://ufcstats.com/fighter-details/71d25689f70e4036
Carlos Calderon,"5' 11""","71""","Feb 10, 1996",http://ufcstats.com/fighter-details/7d4d7583df7eebf9
Jared Rosholt,"6' 2""","75""","Aug 04, 1986",http://ufcstats.com/fighter-details/91ea901c458e95dd
John Alessio,"5' 10""","72""","Jul 05, 1979",http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Jackson McVey,"6' 4""","77""","Mar 25, 1999",http://ufcstats.com/fighter-details/3eeec2f53cebdf12
Mike Wilkinson,"5' 7""","66""","Sep 15, 1987",http://ufcstats.com/fighter-details/cfaf010d5b389c09
BJ Penn,"5' 9""","70""","Dec 13, 1978",http://ufcstats.com/fighter-details/73c7cfa551289285
Luis Felipe Dias,"5' 10""","74""","Jan 17, 1995",http://ufcstats.com/fighter-details/33a86e839ad202d8
Gigo Jara,"5' 9""",--,--,http://ufcstats.com/fighter-details/99d5cf1eda8b25c1
Hu Yaozong,"6' 3""","72""","Apr 07, 1995",http://ufcstats.com/fighter-details/f1175ea3aafbf351
Jesse Bongfeldt,"6' 0""",--,"Aug 28, 1980",http://ufcstats.com/fighter-details/934de214814b8ff4
Jordan Goodwin,--,--,--,http://ufcstats.com/fighter-details/7f98d9d5a10fa25c
Jeremy Kennedy,"5' 11""","71""","Sep 16, 1992",http://ufcstats.com/fighter-details/68f6e96c5fa6e044
Taylor Johnson,"6' 0""","74""","Nov 09, 1990",http://ufcstats.com/fighter-details/552b09cbf13b6328
Kevin Jousset,"6' 2""","75""","May 02, 1993",http://ufcstats.com/fighter-details/dda15dbfafb792df
Danny Mitchell,"6' 2""",--,"Aug 08, 1986",http://ufcstats.com/fighter-details/c06d554ce1713fd3
Priya Sharma,"5' 1""","59""","Aug 29, 1991",http://ufcstats.com/fighter-details/5f23eaf9e9c34667
Javi Alanis,"5' 6""",--,--,http://ufcstats.com/fighter-details/2144954270be834d
Ben Holscher,"5' 11""",--,--,http://ufcstats.com/fighter-details/6070f16bcfd89fcf
Paul Jones,"5' 9""",--,"Jun 16, 1963",http://ufcstats.com/fighter-details/f341f9551ba744e2
Keenan Raymond,--,--,--,http://ufcstats.com/fighter-details/bdd16cd6b29cb499
Junior Tafa,"6' 3""","75""","Sep 21, 1996",http://ufcstats.com/fighter-details/c15fa95b9a12fde4
Frankie Edgar,"5' 6""","68""","Oct 16, 1981",http://ufcstats.com/fighter-details/f2688492b9a525a3
Alessandro Costa,"5' 4""","67""","Jan 28, 1996",http://ufcstats.com/fighter-details/3fa97913cfd205d3
Takayo Hashi,"5' 4""",--,"Oct 02, 1977",http://ufcstats.com/fighter-details/ae4343d29c68e9d0
Max Holloway,"5' 11""","69""","Dec 04, 1991",http://ufcstats.com/fighter-details/150ff4cc642270b9
Garrett Mueller,"5' 9""",--,"Jan 29, 1989",http://ufcstats.com/fighter-details/d0c325dfefdde31f
Kazuki Okubo,"5' 11""",--,"Jun 30, 1979",http://ufcstats.com/fighter-details/33454ad90754cb49
Julian Sanchez,"6' 3""",--,--,http://ufcstats.com/fighter-details/c6da1c24fe473418
Logan Clark,"6' 2""",--,"Feb 16, 1985",http://ufcstats.com/fighter-details/6776260cb0aef647
Dan Henderson,"5' 11""","74""","Aug 24, 1970",http://ufcstats.com/fighter-details/1ccf4e7caff270df
Zhang Mingyang,"6' 2""","75""","Aug 16, 1998",http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7
Matthew Lopez,"5' 7""","69""","Jan 21, 1987",http://ufcstats.com/fighter-details/2fc7e9701642ca38
Omar Morales,"5' 11""","73""","Oct 17, 1985",http://ufcstats.com/fighter-details/a0e6753c42698f13
Jorge Ortiz,"6' 0""",--,--,http://ufcstats.com/fighter-details/9c5828c6fd9dc948
David Terrell,"6' 1""",--,"Jan 09, 1978",http://ufcstats.com/fighter-details/4123fd4dcc1fe937
Mychal Clark,"6' 3""",--,--,http://ufcstats.com/fighter-details/69108cb8b32efe04
WonBin Ki,"5' 11""","73""","Feb 11, 1991",http://ufcstats.com/fighter-details/aaeb55084b198a39
Michel Pereira,"6' 1""","73""","Oct 06, 1993",http://ufcstats.com/fighter-details/595db60957de51d3
Ryuichi Murata,"5' 8""",--,"Aug 27, 1976",http://ufcstats.com/fighter-details/e3a6c6d6d0ac0815
Brendan Schaub,"6' 4""","78""","Mar 18, 1983",http://ufcstats.com/fighter-details/89a407032911e27e
Taylor Moore,"5' 10""","70""","Oct 16, 1993",http://ufcstats.com/fighter-details/26927dab41dbd5fc
Emily Ducote,"5' 2""","63""","Jan 01, 1994",http://ufcstats.com/fighter-details/02f8fedc18cbd26c
Alfonso Alcarez,"5' 3""",--,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10
Fabio Cherant,"6' 1""","74""","Nov 25, 1994",http://ufcstats.com/fighter-details/78a68f1dade6aaf7
Alavutdin Gadjiev,"6' 2""",--,"Jun 23, 1982",http://ufcstats.com/fighter-details/a7a79b8efbceaaac
Lorenzo Hood,"6' 3""","80""","Mar 02, 1989",http://ufcstats.com/fighter-details/7f9abc4db2d05764
Alistair Overeem,"6' 4""","80""","May 17, 1980",http://ufcstats.com/fighter-details/b4ad3a06ee4d660c
Chad George,"5' 6""","68""","Apr 30, 1982",http://ufcstats.com/fighter-details/14e797332ea32cdb
Genaro Valdez,"5' 9""","72""","Jan 16, 1992",http://ufcstats.com/fighter-details/cda1099995b46cc2
Koyomi Matsushima,"5' 7""","66""","Oct 08, 1992",http://ufcstats.com/fighter-details/5ad226da6c74a48e
Davi Bittencourt,"5' 5""","65""","Oct 12, 1994",http://ufcstats.com/fighter-details/dd6ec6f941c3a414
Jimmie Pace,--,--,"Apr 09, 1996",http://ufcstats.com/fighter-details/4652b685fa11e7fd
Dennis Dombrow,--,--,"Mar 17, 1986",http://ufcstats.com/fighter-details/4145caa2c999fbac
Ilia Topuria,"5' 7""","69""","Jan 21, 1997",http://ufcstats.com/fighter-details/54f64b5e283b0ce7
Terry Etim,"6' 1""","73""","Jan 11, 1986",http://ufcstats.com/fighter-details/33011768c3c4dc9a
Patrik White,"6' 0""","72""","Jun 11, 1993",http://ufcstats.com/fighter-details/4debc6c4c6249690
Lyoto Machida,"6' 1""","74""","May 30, 1978",http://ufcstats.com/fighter-details/f7a7f7118d4b01b6
Marcos Conrado Jr.,"6' 2""",--,"Mar 14, 1982",http://ufcstats.com/fighter-details/d450769115a193c2
David Smith,--,--,--,http://ufcstats.com/fighter-details/e955046551f8c7dd
Gegard Mousasi,"6' 2""","76""","Aug 01, 1985",http://ufcstats.com/fighter-details/232c582f29f8f65e
Eugenio Tadeu,"5' 8""",--,"Aug 17, 1963",http://ufcstats.com/fighter-details/f70144caea5c4c80
Brandon Moreno,"5' 7""","70""","Dec 07, 1993",http://ufcstats.com/fighter-details/792be9a24df82ed6
Rudy Bears,"5' 11""",--,"Jan 19, 1979",http://ufcstats.com/fighter-details/74f13066b1417ef3
Farid Basharat,"5' 8""","71""","Aug 02, 1997",http://ufcstats.com/fighter-details/a09ed60aa67a3f67
Pearl Gonzalez,"5' 4""",--,"Aug 12, 1986",http://ufcstats.com/fighter-details/1ebdcb7488d0ebee
Carlos Newton,"5' 9""",--,"Aug 17, 1976",http://ufcstats.com/fighter-details/952f6fa06f25a0ec
Jason Sharp,--,--,--,http://ufcstats.com/fighter-details/285e32e41f61a5b1
Cory McKenna,"5' 3""","58""","Jul 11, 1999",http://ufcstats.com/fighter-details/3351aa64aa83c4d9
Kengo Ura,"5' 9""",--,"Jun 20, 1981",http://ufcstats.com/fighter-details/58258914525740a5
Mason Fowler,"5' 11""",--,--,http://ufcstats.com/fighter-details/d745d4146be48679
MinWoo Kim,"5' 8""","72""","Jul 21, 1993",http://ufcstats.com/fighter-details/6343a95f1d9e6a33
Brian McLaughlin,"5' 9""",--,"May 12, 1984",http://ufcstats.com/fighter-details/6488729da7ac1c79
Alden Coria,"5' 8""","67""","Apr 24, 1998",http://ufcstats.com/fighter-details/5e9ca8dd7d783a75
Dave Herman,"6' 4""","77""","Oct 03, 1984",http://ufcstats.com/fighter-details/cbd6f1abf955e628
JungHyun Lee,"5' 5""","65""","Sep 10, 2002",http://ufcstats.com/fighter-details/b6033505c245e28b
Joe Stevenson,"5' 7""","70""","Jun 15, 1982",http://ufcstats.com/fighter-details/79899ecf62020f6d
Karl Willis,--,--,--,http://ufcstats.com/fighter-details/95883dbdab4fcf0f
Victor Madrigal,"5' 7""","71""","Aug 16, 1990",http://ufcstats.com/fighter-details/cc63a5f0089d8ba9
Norma Dumont,"5' 7""","67""","Oct 01, 1990",http://ufcstats.com/fighter-details/d3f5d33d61cd00c9
Enrique Marin,"5' 10""",--,"Sep 02, 1986",http://ufcstats.com/fighter-details/23a6e307077c6ccc
Jake O'Brien,"6' 3""","76""","Sep 25, 1984",http://ufcstats.com/fighter-details/20bcc9966affb19c
Alice Pereira,"5' 8""","71""","Dec 20, 2005",http://ufcstats.com/fighter-details/81d2c551886bd5a1
Jim Miller,"5' 8""","71""","Aug 30, 1983",http://ufcstats.com/fighter-details/d1941565abf50b16
Ricardo Almeida,"6' 0""","74""","Nov 29, 1976",http://ufcstats.com/fighter-details/91186547a7f3f758
Radley Da Silva,"5' 9""","71""","Jun 20, 1995",http://ufcstats.com/fighter-details/0d68c7bfdff1dc34
Ruben Villareal,"6' 4""",--,"May 01, 1970",http://ufcstats.com/fighter-details/39f68882def7a507
Courtney Buck,"5' 10""",--,"Mar 19, 1982",http://ufcstats.com/fighter-details/3feed7d02711d8b7
Chico Camus,"5' 6""","66""","Jan 26, 1985",http://ufcstats.com/fighter-details/32be4b7f7de1c905
Leah Letson,"5' 7""","71""","Aug 21, 1992",http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7
Dustin Ortiz,"5' 5""","65""","Dec 25, 1988",http://ufcstats.com/fighter-details/f53c1f4ceeed8c08
Jeremy Boczulak,--,--,--,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
Paula Luna,"5' 2""","62""","Jul 05, 1999",http://ufcstats.com/fighter-details/5b1effb0db45273a
Joe Solecki,"5' 9""","70""","Aug 27, 1993",http://ufcstats.com/fighter-details/af65aa688d13eedf
Jim Wallhead,"5' 10""",--,"Mar 14, 1984",http://ufcstats.com/fighter-details/0c670b443c3d269f
Shane Campbell,"6' 0""","71""","Jan 21, 1987",http://ufcstats.com/fighter-details/784285b7ae7dd85f
Paulo Henrique,"5' 7""","69""","Jul 03, 2002",http://ufcstats.com/fighter-details/3fe8ad7e1594537a
Mandel Nallo,"6' 0""","75""","Jul 26, 1989",http://ufcstats.com/fighter-details/8f4528c10bd34fab
Federico Lopez,"5' 4""",--,"Jan 04, 1984",http://ufcstats.com/fighter-details/9681e0ce67dc978b
Rony Jason,"5' 7""","73""","Mar 21, 1984",http://ufcstats.com/fighter-details/b71ce838b01f2cad
Eric Spicely,"6' 1""","73""","Sep 29, 1986",http://ufcstats.com/fighter-details/b9664eae2ac75262
Mara Romero Borella,"5' 6""","69""","Jun 03, 1986",http://ufcstats.com/fighter-details/82cbb809d5ee565c
Ronald Jhun,"5' 11""",--,"Sep 21, 1970",http://ufcstats.com/fighter-details/b9e871af730f826c
Brandon Wolff,"5' 9""",--,"Oct 18, 1975",http://ufcstats.com/fighter-details/aa79d5399571068e
Claudio Ribeiro,"6' 1""","77""","Jul 17, 1992",http://ufcstats.com/fighter-details/972c456ff38b2015
Junior Assuncao,"5' 9""","72""","Jun 24, 1981",http://ufcstats.com/fighter-details/d0d7160824278840
Demian Maia,"6' 1""","72""","Nov 06, 1977",http://ufcstats.com/fighter-details/427b5953ac8e3a27
Eun Soo Lee,"6' 1""",--,"Mar 07, 1982",http://ufcstats.com/fighter-details/39c568f8c579913e
Ian Entwistle,"5' 5""",--,"Nov 19, 1986",http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8
Nikk Covert,"5' 8""",--,"Aug 04, 1969",http://ufcstats.com/fighter-details/400c7b43c86d27d3
Paulo Cesar Silva,"7' 5""",--,"Jul 21, 1963",http://ufcstats.com/fighter-details/55b8dc4e54fe2c59
Andrey Koreshkov,"6' 0""",--,"Aug 23, 1990",http://ufcstats.com/fighter-details/aee885b8ca29ab4f
Ross Pointon,"5' 8""",--,"Feb 18, 1980",http://ufcstats.com/fighter-details/7215953cd5c6254d
Luc Bondole,"6' 2""",--,--,http://ufcstats.com/fighter-details/8691881b31c16b88
Dwight Joseph,"5' 6""",--,"Aug 16, 1989",http://ufcstats.com/fighter-details/34ca93f1791a5c50
Chris Mierzwiak,"6' 1""",--,"Feb 14, 1988",http://ufcstats.com/fighter-details/2b284840ca89876a
Sterling Ford,"5' 10""",--,"Mar 12, 1986",http://ufcstats.com/fighter-details/a71ce6ff0b4a9dbb
Ericka Almeida,"5' 6""",--,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466
Raul Castillo,"5' 11""",--,--,http://ufcstats.com/fighter-details/feeae92f951f49a9
Jason Miller,"6' 1""",--,"Dec 24, 1980",http://ufcstats.com/fighter-details/b2f88c04c4dd43ce
Leslie Smith,"5' 9""","66""","Aug 17, 1982",http://ufcstats.com/fighter-details/76984112f697631f
Ketlen Souza,"5' 3""","63""","Aug 18, 1994",http://ufcstats.com/fighter-details/8bd4200561c77a62
Bryson Kamaka,"5' 11""",--,--,http://ufcstats.com/fighter-details/9336e86cfd4ceaa1
Joey Roberts,"6' 2""",--,"Nov 11, 1977",http://ufcstats.com/fighter-details/c058823a2595ab09
Lumumba Sayers,"6' 0""",--,"Jun 30, 1978",http://ufcstats.com/fighter-details/402ea3b5ee233852
Tatsuya Ando,"5' 4""","68""","Apr 26, 1990",http://ufcstats.com/fighter-details/17615148dd4be6f6
Mike Jackson,"6' 2""","74""","Mar 22, 1985",http://ufcstats.com/fighter-details/0641c21bec209472
Mike Pyle,"6' 0""","74""","Sep 18, 1975",http://ufcstats.com/fighter-details/f5990c11974d8e9c
Aaron Wilkinson,"5' 10""",--,"Jan 31, 1987",http://ufcstats.com/fighter-details/338a11d3674eb2d4
Kay Hansen,"5' 2""","63""","Aug 14, 1999",http://ufcstats.com/fighter-details/4100c7a09497ad41
Bubba Jenkins,"5' 7""",--,"Feb 05, 1988",http://ufcstats.com/fighter-details/5e841bb3752b6e86
Artur Oumakhanov,"5' 7""",--,"Feb 27, 1979",http://ufcstats.com/fighter-details/1ef0eae31904e534
Felicia Spencer,"5' 6""","68""","Nov 29, 1990",http://ufcstats.com/fighter-details/39d91e95949de3d9
Acacio Dos Santos,"6' 4""","79""","Sep 29, 1991",http://ufcstats.com/fighter-details/957562fdf68a725a
Jiniushiyue,"5' 6""","68""","Dec 09, 2000",http://ufcstats.com/fighter-details/c14a683dac2ebc4c
Lance Benoist,"5' 11""","72""","Aug 26, 1988",http://ufcstats.com/fighter-details/5431dccc09118234
Anna Elmose,"5' 3""",--,"Oct 06, 1984",http://ufcstats.com/fighter-details/1536a25e16fc299b
Tim Roman,"6' 1""",--,"Jun 08, 1985",http://ufcstats.com/fighter-details/3b83fec860a45ca1
James Te Huna,"6' 2""","75""","Sep 29, 1981",http://ufcstats.com/fighter-details/f5431394fb284bb9
Riki Fukuda,"6' 0""","73""","Jan 06, 1981",http://ufcstats.com/fighter-details/7c35f869033901ae
Alberto Crane,"5' 5""",--,"Jul 14, 1976",http://ufcstats.com/fighter-details/25433871e4eee0f4
Emilio Cuellar,--,--,--,http://ufcstats.com/fighter-details/3aeb69b4a13ff0e8
Fabio Nascimento,"5' 10""",--,"Mar 18, 1981",http://ufcstats.com/fighter-details/307064d3e0f036c2
Viviane Araujo,"5' 4""","68""","Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955
Sora Rakhmonova,--,--,"Jun 21, 1998",http://ufcstats.com/fighter-details/63ff619c52ff7976
Anthony Adams,"6' 1""","76""","Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265
Jesus Pinedo,"5' 10""",--,"Jun 22, 1996",http://ufcstats.com/fighter-details/25af5e832f17b474
Xie Bin,"5' 10""","72""","Feb 28, 1998",http://ufcstats.com/fighter-details/e415ea6f8d41c917
Katsuyori Shibata,"6' 0""",--,"Nov 17, 1979",http://ufcstats.com/fighter-details/d4da8995fc91e7ef
Teemu Packalen,"6' 1""","75""","May 22, 1987",http://ufcstats.com/fighter-details/8f4eeaf7a0df7c1a
Ali AlQaisi,"5' 6""","68""","Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d
Yusaku Kinoshita,"6' 0""","71""","Aug 21, 2000",http://ufcstats.com/fighter-details/21b5c82c1b89dab1
Hector Sandoval,"5' 2""","64""","Jul 19, 1986",http://ufcstats.com/fighter-details/449c890bd90f3374
Nathan Coy,"5' 10""","69""","Jul 24, 1978",http://ufcstats.com/fighter-details/15ec018d144710db
Johnny Eduardo,"5' 7""","71""","Aug 03, 1978",http://ufcstats.com/fighter-details/528c24b99fbaab79
Onassis Parungao,"5' 11""",--,--,http://ufcstats.com/fighter-details/96d173b7f92aa520
Dimitiri Wanderley,--,--,--,http://ufcstats.com/fighter-details/a1d6b308781aa2f5
Julio Arce,"5' 7""","70""","Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a
Mridul Saikia,"5' 7""","68""","May 09, 1997",http://ufcstats.com/fighter-details/96c76dd695eb3b88
Vitor Petrino,"6' 2""","77""","Aug 28, 1997",http://ufcstats.com/fighter-details/71171fc96445bf65
Pablo Garza,"6' 1""","73""","Sep 16, 1983",http://ufcstats.com/fighter-details/8e5bfd4e82352340
Landon Showalter,"6' 0""",--,"Jun 14, 1976",http://ufcstats.com/fighter-details/35cc17760b06f36d
Jason Freeman,"6' 2""",--,"Sep 02, 1976",http://ufcstats.com/fighter-details/5870bd1eadf4f322
Reese Andy,"6' 0""",--,"Mar 31, 1973",http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Eliezer Kubanza,"5' 9""","74""","Dec 23, 1997",http://ufcstats.com/fighter-details/66579081831db7b0
Aaron Trujillo,"5' 5""",--,--,http://ufcstats.com/fighter-details/cc18abc046b382c9
Marcus LeVesseur,"5' 9""","70""","Jul 17, 1982",http://ufcstats.com/fighter-details/182f2b78582de3d8
Angel Pacheco,"5' 8""","70""","Jan 13, 1992",http://ufcstats.com/fighter-details/07797f10b9569cfc
Christian Aguilera,"5' 9""","72""","Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Mark Weir,"6' 2""",--,"Sep 19, 1967",http://ufcstats.com/fighter-details/9ccdd2ce45903f34
Albert Duraev,"5' 11""","75""","Jan 05, 1989",http://ufcstats.com/fighter-details/6b7c7460855dbbb9
Cristina Stanciu,"5' 3""",--,"Mar 29, 1994",http://ufcstats.com/fighter-details/175852708cb55776
Vitor Miranda,"6' 1""","77""","Mar 10, 1979",http://ufcstats.com/fighter-details/4bcb6eb12b4ad4aa
Israel Delgado,"5' 10""",--,--,http://ufcstats.com/fighter-details/01f4bcd26ac08ad5
Brad Mitchell,"5' 11""",--,"Oct 10, 1974",http://ufcstats.com/fighter-details/7263e0dc082adc87
Robert Bryczek,"6' 0""","75""","Jul 04, 1990",http://ufcstats.com/fighter-details/f96856f9d69fd7e4
Jimmie Rivera,"5' 4""","68""","Jun 29, 1989",http://ufcstats.com/fighter-details/9c907996820d2d69
Maurice Mitchell,"5' 9""",--,"Jun 29, 1987",http://ufcstats.com/fighter-details/568bebed6366b667
Clint Hester,"6' 2""","77""","Nov 21, 1986",http://ufcstats.com/fighter-details/92b62174c175ce19
Elisha Helsper,"5' 6""",--,"Feb 06, 1983",http://ufcstats.com/fighter-details/0971be7d94e109e1
John Gunther,"5' 9""","72""","Nov 24, 1985",http://ufcstats.com/fighter-details/3956bdc8ab2e54b3
Benson Henderson,"5' 9""","70""","Nov 16, 1983",http://ufcstats.com/fighter-details/2676b28836a5a836
Tuco Tokkos,"6' 4""","76""","Jun 30, 1990",http://ufcstats.com/fighter-details/3e8118c1ab52f211
Neil Wain,"5' 10""",--,--,http://ufcstats.com/fighter-details/6b7bc7eaf2465387
Trenell Young,"5' 6""",--,"Jun 19, 1976",http://ufcstats.com/fighter-details/bf5183e1c1afc3b2
Frank Shamrock,"5' 10""",--,"Dec 08, 1972",http://ufcstats.com/fighter-details/fcaae0385b514f11
Pat Audinwood,"6' 0""",--,"Apr 16, 1986",http://ufcstats.com/fighter-details/196ed28337adc630
Mads Burnell,"5' 8""","69""","Mar 06, 1994",http://ufcstats.com/fighter-details/69f01b25dfabaf6b
Hector Urbina,"5' 11""","73""","Sep 17, 1987",http://ufcstats.com/fighter-details/4b8fb0453a596b8e
Jordan Bailey,"5' 9""",--,--,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
George Mangos,"5' 10""","70""","Aug 19, 2003",http://ufcstats.com/fighter-details/122ae3b34275fbb2
Li Yunfeng,"5' 8""","68""","Mar 08, 1999",http://ufcstats.com/fighter-details/4c7afd56ef1947ac
Michael Chandler,"5' 8""","71""","Apr 24, 1986",http://ufcstats.com/fighter-details/4b93a88f3b1de35b
Coltin Cole,--,--,"Apr 24, 1989",http://ufcstats.com/fighter-details/cecd72feb0d640e3
Wesley Little,"6' 4""",--,--,http://ufcstats.com/fighter-details/008c6e1a25751575
Travis Calanoc,"5' 8""",--,--,http://ufcstats.com/fighter-details/90d28fee0af74f2d
Kevin Randleman,"5' 10""",--,"Aug 10, 1971",http://ufcstats.com/fighter-details/6859f67468ba8489
Ryan Spann,"6' 5""","79""","Aug 24, 1991",http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
Moti Horenstein,"6' 4""",--,"Mar 23, 1964",http://ufcstats.com/fighter-details/baf942f4bcb09894
Nathan Fletcher,"5' 7""","70""","Jan 03, 1998",http://ufcstats.com/fighter-details/a2d342ffc83913ed
Keith Berry,"6' 1""",--,"Oct 25, 1987",http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
Kyron Bowen,"6' 3""","73""","Dec 22, 1993",http://ufcstats.com/fighter-details/5488b3c67600333a
Magomed Zaynukov,"5' 10""","68""","Jan 02, 1995",http://ufcstats.com/fighter-details/04ff3a711504d6b3
Christopher Lopez,"5' 10""",--,"Jan 30, 1986",http://ufcstats.com/fighter-details/5148a665aa527865
George Stork,"5' 10""",--,--,http://ufcstats.com/fighter-details/61dd409cb40d1a55
Chad Sutton,"6' 1""",--,"Aug 07, 1982",http://ufcstats.com/fighter-details/556347e2b0e33979
Andrew Valladerez,--,--,"Jun 28, 1987",http://ufcstats.com/fighter-details/2a898bf9fb7710b3
Mo Miller,"5' 8""","72""","Aug 10, 1992",http://ufcstats.com/fighter-details/39019970ac8543e9
Pat Schilling,"5' 8""",--,"Aug 28, 1988",http://ufcstats.com/fighter-details/de12bd65e2f46478
Ronda Rousey,"5' 7""","66""","Feb 01, 1987",http://ufcstats.com/fighter-details/8bdac25ce0bb874d
Phil Davis,"6' 2""","79""","Sep 25, 1984",http://ufcstats.com/fighter-details/902ab9197b83d0db
Walt Harris,"6' 5""","77""","Jun 10, 1983",http://ufcstats.com/fighter-details/03f982ca3735070c
Jorge Oliveira,"6' 1""",--,--,http://ufcstats.com/fighter-details/bec2746f033802c3
Gaston Reyno,"6' 0""",--,"Nov 11, 1986",http://ufcstats.com/fighter-details/64db35f7782fe274
Teddy Ash,"6' 1""","73""","Dec 27, 1989",http://ufcstats.com/fighter-details/a373085066dbfb54
Kody Steele,"5' 9""","71""","Apr 21, 1995",http://ufcstats.com/fighter-details/aebaa8cec15b083d
Antonina Shevchenko,"5' 8""","67""","Nov 20, 1984",http://ufcstats.com/fighter-details/d7338bcb141abd2c
Enson Inoue,"5' 10""",--,"Apr 15, 1967",http://ufcstats.com/fighter-details/0cf935519d439ba6
Peggy Morgan,"6' 1""",--,"Dec 16, 1979",http://ufcstats.com/fighter-details/92b36014314b028b
Nik Lentz,"5' 8""","68""","Aug 13, 1984",http://ufcstats.com/fighter-details/6fb1ba67bef41b37
Brett Cooper,"6' 0""",--,"Jul 02, 1987",http://ufcstats.com/fighter-details/88ffe9745e218dd8
Jesse Finney,"6' 0""",--,"Jul 11, 1974",http://ufcstats.com/fighter-details/0496cdac0bc9edd8
Ronaldo Candido,"5' 6""",--,"Apr 24, 1989",http://ufcstats.com/fighter-details/23fbe02caabcd214
John Hathaway,"6' 1""","75""","Jul 23, 1987",http://ufcstats.com/fighter-details/28f3c2258a1d8874
Tom Gallicchio,"5' 10""",--,"Sep 23, 1986",http://ufcstats.com/fighter-details/cc81c92fe2254935
Sarah Payant,"5' 4""",--,--,http://ufcstats.com/fighter-details/748d4e35f846a029
Roy Boughton,"6' 0""",--,--,http://ufcstats.com/fighter-details/2aaf0181432adf0b
Kevin Szaflarski,"6' 5""","77""","Dec 30, 1994",http://ufcstats.com/fighter-details/d2d05dda5f887f87
