p1_fighter,p2_fighter,referee,winner,event_date,p1_height,p1_weight,p1_reach,p1_stance,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.,p1_age_at_event,p2_age_at_event,height_diff,reach_diff,weight_diff,age_diff,slpm_diff,stracc_diff,sapm_diff,strdef_diff,tdavg_diff,tdacc_diff,tddef_diff,subavg_diff,p1_days_since_last_fight,p2_days_since_last_fight,days_since_last_fight_diff,p1_wins,p1_losses,p1_total,p2_wins,p2_losses,p2_total,win_diff,loss_diff,total_diff,p1_win_streak,p2_win_streak,p1_age_adjusted_SLpM,p2_age_adjusted_SLpM,p1_age_adjusted_Str. Acc.,p2_age_adjusted_Str. Acc.,p1_age_adjusted_SApM,p2_age_adjusted_SApM,p1_age_adjusted_Str. Def,p2_age_adjusted_Str. Def,p1_age_adjusted_TD Avg.,p2_age_adjusted_TD Avg.,p1_age_adjusted_TD Acc.,p2_age_adjusted_TD Acc.,p1_age_adjusted_TD Def.,p2_age_adjusted_TD Def.,p1_age_adjusted_Sub. Avg.,p2_age_adjusted_Sub. Avg.,p1_KD_EMA,p2_KD_EMA,p1_SIG_STR_PCT_EMA,p2_SIG_STR_PCT_EMA,p1_TD_PCT_EMA,p2_TD_PCT_EMA,p1_SUB_ATT_EMA,p2_SUB_ATT_EMA,p1_REV_EMA,p2_REV_EMA,p1_CTRL_EMA,p2_CTRL_EMA,p1_R1_KD_EMA,p2_R1_KD_EMA,p1_R1_SIG_STR_PCT_EMA,p2_R1_SIG_STR_PCT_EMA,p1_R1_TD_PCT_EMA,p2_R1_TD_PCT_EMA,p1_R1_SUB_ATT_EMA,p2_R1_SUB_ATT_EMA,p1_R1_REV_EMA,p2_R1_REV_EMA,p1_R1_CTRL_EMA,p2_R1_CTRL_EMA,p1_SIG_STR_PCT_DETAILED_EMA,p2_SIG_STR_PCT_DETAILED_EMA,p1_R1_SIG_STR_PCT_DETAILED_EMA,p2_R1_SIG_STR_PCT_DETAILED_EMA,p1_SIG_STR_LANDED_EMA,p2_SIG_STR_LANDED_EMA,p1_SIG_STR_ATTEMPTED_EMA,p2_SIG_STR_ATTEMPTED_EMA,p1_TOTAL_STR_LANDED_EMA,p2_TOTAL_STR_LANDED_EMA,p1_TOTAL_STR_ATTEMPTED_EMA,p2_TOTAL_STR_ATTEMPTED_EMA,p1_TD_LANDED_EMA,p2_TD_LANDED_EMA,p1_TD_ATTEMPTED_EMA,p2_TD_ATTEMPTED_EMA,p1_R1_SIG_STR_LANDED_EMA,p2_R1_SIG_STR_LANDED_EMA,p1_R1_SIG_STR_ATTEMPTED_EMA,p2_R1_SIG_STR_ATTEMPTED_EMA,p1_R1_TOTAL_STR_LANDED_EMA,p2_R1_TOTAL_STR_LANDED_EMA,p1_R1_TOTAL_STR_ATTEMPTED_EMA,p2_R1_TOTAL_STR_ATTEMPTED_EMA,p1_R1_TD_LANDED_EMA,p2_R1_TD_LANDED_EMA,p1_R1_TD_ATTEMPTED_EMA,p2_R1_TD_ATTEMPTED_EMA,p1_HEAD_LANDED_EMA,p2_HEAD_LANDED_EMA,p1_HEAD_ATTEMPTED_EMA,p2_HEAD_ATTEMPTED_EMA,p1_BODY_LANDED_EMA,p2_BODY_LANDED_EMA,p1_BODY_ATTEMPTED_EMA,p2_BODY_ATTEMPTED_EMA,p1_LEG_LANDED_EMA,p2_LEG_LANDED_EMA,p1_LEG_ATTEMPTED_EMA,p2_LEG_ATTEMPTED_EMA,p1_DISTANCE_LANDED_EMA,p2_DISTANCE_LANDED_EMA,p1_DISTANCE_ATTEMPTED_EMA,p2_DISTANCE_ATTEMPTED_EMA,p1_CLINCH_LANDED_EMA,p2_CLINCH_LANDED_EMA,p1_CLINCH_ATTEMPTED_EMA,p2_CLINCH_ATTEMPTED_EMA,p1_GROUND_LANDED_EMA,p2_GROUND_LANDED_EMA,p1_GROUND_ATTEMPTED_EMA,p2_GROUND_ATTEMPTED_EMA,p1_R1_HEAD_LANDED_EMA,p2_R1_HEAD_LANDED_EMA,p1_R1_HEAD_ATTEMPTED_EMA,p2_R1_HEAD_ATTEMPTED_EMA,p1_R1_BODY_LANDED_EMA,p2_R1_BODY_LANDED_EMA,p1_R1_BODY_ATTEMPTED_EMA,p2_R1_BODY_ATTEMPTED_EMA,p1_R1_LEG_LANDED_EMA,p2_R1_LEG_LANDED_EMA,p1_R1_LEG_ATTEMPTED_EMA,p2_R1_LEG_ATTEMPTED_EMA,p1_R1_DISTANCE_LANDED_EMA,p2_R1_DISTANCE_LANDED_EMA,p1_R1_DISTANCE_ATTEMPTED_EMA,p2_R1_DISTANCE_ATTEMPTED_EMA,p1_R1_CLINCH_LANDED_EMA,p2_R1_CLINCH_LANDED_EMA,p1_R1_CLINCH_ATTEMPTED_EMA,p2_R1_CLINCH_ATTEMPTED_EMA,p1_R1_GROUND_LANDED_EMA,p2_R1_GROUND_LANDED_EMA,p1_R1_GROUND_ATTEMPTED_EMA,p2_R1_GROUND_ATTEMPTED_EMA
Roman Dolidze,Anthony Hernandez,Herb Dean,0,2025-08-09,74.0,185.0,76.0,Orthodox,3.41,0.41,3.72,0.48,0.99,0.39,0.26,0.8,72.0,185.0,75.0,Orthodox,4.59,0.62,2.53,0.49,6.46,0.48,0.68,1.8,37.06776180698152,31.808350444900753,2.0,1.0,0.0,5.259411362080769,-1.1799999999999997,-0.21000000000000002,1.1900000000000004,-0.010000000000000009,-5.47,-0.08999999999999997,-0.42000000000000004,-1.0,147.0,168.0,-21.0,9,3,12,8,2,10,1,1,2,3,7,0.09199368491025925,0.14430173007402308,0.011060824285397739,0.019491736959889826,0.10035674717482827,0.07953886211051817,0.01294925769997784,0.015404759855396799,0.0267078440062043,0.20309132380788433,0.010521271881231996,0.015090377001205028,0.007014181254154665,0.021378034085040458,0.021582096166629736,0.056588913754518855,0.015873015873015872,0.0,0.4542271062271062,0.6698142717497556,0.30132596685082874,0.4223762376237624,0.05811965811965812,0.6275659824046921,0.06349206349206349,1.0087976539589443,117.49328449328449,632.396871945259,0.015873015873015872,0.0,0.3934505494505494,0.5529618768328446,0.8000618238021638,0.33700990099009903,0.02490842490842491,0.14858260019550343,0.0,0.0,48.86764346764347,128.04887585532748,0.4542271062271062,0.6698142717497556,0.3934505494505494,0.5529618768328446,92.76703296703296,63.60019550342131,217.35873015873017,92.85141739980449,104.66886446886447,104.32942326490713,238.72234432234433,141.1348973607038,0.3873015873015873,5.642228739002933,1.4295482295482296,14.578690127077223,17.676434676434678,12.777126099706745,45.74896214896215,24.419354838709676,27.376068376068375,17.911045943304007,63.111111111111114,30.26490713587488,0.2554334554334554,1.163245356793744,0.3199023199023199,5.216031280547409,57.19145299145299,55.152492668621704,164.54432234432235,83.20625610948191,12.908180708180709,6.676441837732161,21.893772893772894,7.435972629521016,22.66739926739927,1.7712609970674487,30.92063492063492,2.209188660801564,82.34896214896214,21.732160312805473,200.77264957264958,41.04105571847507,2.68962148962149,4.880742913000978,4.41953601953602,6.330400782013685,7.7284493284493285,36.987292277614856,12.166544566544566,45.479960899315735,9.895726495726496,10.174975562072337,34.684004884004885,20.627565982404693,2.316727716727717,1.8944281524926687,2.6,2.64613880742913,5.463980463980464,0.70772238514174,8.464957264957265,1.1456500488758554,13.898168498168499,6.96969696969697,39.61611721611722,17.944281524926687,0.22515262515262516,2.366568914956012,0.31697191697191696,2.7839687194525906,3.553113553113553,3.4408602150537635,5.815873015873016,3.6911045943304006
Uros Medic,Gilbert Urbina,Mark Smith,1,2025-08-09,73.0,170.0,71.0,Southpaw,5.47,0.6,3.5,0.56,0.36,0.5,0.55,0.0,75.0,170.0,75.0,Orthodox,5.57,0.56,4.62,0.44,2.86,0.44,0.0,0.7,32.290212183436005,29.34428473648186,-2.0,-4.0,0.0,2.945927446954144,-0.10000000000000053,0.039999999999999925,-1.12,0.12000000000000005,-2.5,0.06,0.55,-0.7,210.0,553.0,-343.0,4,3,7,1,2,3,3,1,4,0,0,0.1694011785653722,0.18981549729427133,0.018581482109547225,0.019083784288113456,0.10839197897235882,0.157441220376936,0.01734271663557741,0.014994401940660571,0.011148889265728336,0.0974636126142937,0.015484568424622688,0.014994401940660571,0.01703302526708496,0.0,0.0,0.023854730360141817,0.3858267716535433,0.2857142857142857,0.6074803149606299,0.5014285714285714,0.2,0.33285714285714285,0.0,0.2857142857142857,0.0,0.0,3.1496062992125986,78.85714285714286,0.25984251968503935,0.0,0.6150393700787402,0.5371428571428571,0.2,0.35714285714285715,0.0,0.2857142857142857,0.0,0.0,2.8976377952755907,73.0,0.6074803149606299,0.5014285714285714,0.6150393700787402,0.5371428571428571,10.811023622047244,30.142857142857142,19.37795275590551,56.0,12.716535433070867,46.714285714285715,21.543307086614174,75.0,0.06299212598425197,0.8571428571428571,0.31496062992125984,2.0,6.874015748031496,24.285714285714285,11.881889763779528,43.57142857142857,8.149606299212598,40.857142857142854,13.417322834645669,62.57142857142857,0.06299212598425197,0.8571428571428571,0.31496062992125984,1.7142857142857142,7.141732283464567,15.857142857142858,14.590551181102363,34.57142857142857,2.748031496062992,8.142857142857142,3.8661417322834644,11.857142857142858,0.9212598425196851,6.142857142857143,0.9212598425196851,9.571428571428571,7.6141732283464565,19.0,14.94488188976378,43.0,2.1653543307086616,3.7142857142857144,3.267716535433071,4.428571428571429,1.031496062992126,7.428571428571429,1.1653543307086613,8.571428571428571,4.496062992125984,12.857142857142858,9.11023622047244,26.142857142857142,1.8346456692913387,7.142857142857143,2.2283464566929134,10.0,0.5433070866141733,4.285714285714286,0.5433070866141733,7.428571428571429,4.590551181102362,14.0,8.551181102362206,32.0,1.6299212598425197,2.857142857142857,2.543307086614173,3.0,0.6535433070866141,7.428571428571429,0.7874015748031497,8.571428571428571
Julius Walker,Rafael Cerqueira,Mike Beltran,1,2025-08-09,76.0,205.0,78.0,Orthodox,4.33,0.55,3.53,0.43,3.5,0.36,1.0,0.0,75.0,205.0,76.0,Southpaw,1.61,0.44,4.88,0.36,0.0,0.0,0.4,0.0,26.067077344284737,35.403148528405204,1.0,2.0,0.0,-9.336071184120467,2.7199999999999998,0.11000000000000004,-1.35,0.07,3.5,0.36,0.6,0.0,168.0,168.0,0.0,0,1,1,0,2,2,0,-1,-1,0,0,0.16610991492490285,0.04547618126981672,0.021099411826488817,0.012428273142061711,0.13541986135910092,0.13784084757559353,0.016495903791618527,0.01016858711623231,0.13426898435038337,0.0,0.01381052410461086,0.0,0.03836256695725239,0.01129843012914701,0.0,0.0,0.0,0.0,0.5,0.6,0.11,,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.57,0.6,0.0,,0.0,0.0,0.0,0.0,172.0,0.0,0.5,0.6,0.57,0.6,86.0,6.333333333333333,171.0,15.0,114.0,6.333333333333333,200.0,15.0,1.0,0.0,9.0,0.0,27.0,6.333333333333333,47.0,15.0,41.0,6.333333333333333,62.0,15.0,0.0,0.0,4.0,0.0,37.0,2.6666666666666665,112.0,10.666666666666666,33.0,0.0,43.0,0.6666666666666666,16.0,3.6666666666666665,16.0,3.6666666666666665,51.0,6.333333333333333,124.0,15.0,35.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,2.6666666666666665,27.0,10.666666666666666,18.0,0.0,19.0,0.6666666666666666,1.0,3.6666666666666665,1.0,3.6666666666666665,6.0,6.333333333333333,20.0,15.0,21.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
Steve Erceg,Ode Osbourne,Mark Smith,1,2025-08-09,68.0,125.0,68.0,Orthodox,4.0,0.45,3.79,0.52,1.15,0.27,0.62,0.4,67.0,125.0,73.0,Southpaw,3.07,0.41,3.43,0.47,1.09,0.3,0.66,0.5,30.036960985626283,33.582477754962355,1.0,-5.0,0.0,-3.5455167693360714,0.9300000000000002,0.040000000000000036,0.3599999999999999,0.050000000000000044,0.05999999999999983,-0.02999999999999997,-0.040000000000000036,-0.09999999999999998,133.0,126.0,7.0,3,3,6,5,6,11,-2,-3,-5,0,1,0.1331692644243916,0.09141672101744659,0.014981542247744053,0.012208747758030327,0.12617787804211103,0.10213659709766836,0.017312004375170907,0.013995393771400619,0.03828616352201258,0.03245740257622697,0.008988925348646433,0.008933230066851459,0.020641235985780697,0.01965310614707321,0.01331692644243916,0.014888716778085766,0.06349206349206349,0.7591597459697118,0.4076190476190476,0.3764435759648265,0.15133333333333335,0.3241095890410959,0.047619047619047616,0.5002442598925256,0.15873015873015872,0.2501221299462628,18.142857142857142,27.61113825109917,0.0,0.2589154860771861,0.3749206349206349,0.31786028334147537,0.0,0.0,0.031746031746031744,0.2501221299462628,0.0,0.0,2.8253968253968256,3.8729848558866635,0.4076190476190476,0.3764435759648265,0.3749206349206349,0.31786028334147537,80.66666666666667,20.652173913043477,186.76190476190476,46.687835857352226,85.46031746031746,27.637029799706887,192.15873015873015,56.97166585246703,0.20634920634920634,0.34782608695652173,1.1428571428571428,1.0903761602344895,20.41269841269841,8.376648754274548,53.20634920634921,21.710796287249632,20.666666666666668,11.726917440156326,53.46031746031746,25.81191988275525,0.0,0.0,0.06349206349206349,0.03517342452369321,62.06349206349206,13.7171470444553,158.14285714285714,37.54079140205178,9.238095238095237,4.49438202247191,17.682539682539684,6.452369320957499,9.365079365079366,2.4406448461162675,10.936507936507937,2.694675134342941,78.28571428571429,14.681485100146556,184.0793650793651,37.92183683439179,2.0793650793650795,0.10210063507572056,2.3492063492063493,0.6375183194919394,0.30158730158730157,5.868588177821202,0.3333333333333333,8.12848070346849,14.857142857142858,4.876893014167074,44.65079365079365,16.71030776746458,1.4761904761904763,2.2510991695163654,3.9206349206349205,3.560332193453835,4.079365079365079,1.248656570591109,4.634920634920635,1.4401563263312165,19.746031746031747,5.2589154860771865,52.476190476190474,16.583292623351245,0.6031746031746031,0.0004885197850512946,0.6666666666666666,0.5007327796775769,0.06349206349206349,3.1172447484123107,0.06349206349206349,4.626770884220811
Iasmin Lucindo,Angela Hill,Chris Tognoni,1,2025-08-09,63.0,115.0,66.0,Orthodox,3.22,0.45,2.8,0.62,2.28,0.55,0.68,0.1,63.0,115.0,64.0,Orthodox,5.43,0.5,4.92,0.6,0.78,0.3,0.74,0.1,23.583846680355922,40.57221081451061,0.0,2.0,0.0,-16.98836413415469,-2.2099999999999995,-0.04999999999999999,-2.12,0.020000000000000018,1.4999999999999998,0.25000000000000006,-0.05999999999999994,0.0,154.0,175.0,-21.0,4,2,6,13,14,27,-9,-12,-21,0,1,0.13653413048525656,0.13383544773601455,0.01908085674483399,0.012323706053040015,0.11872533085674482,0.12126526756191375,0.026289180403993497,0.014788447263648018,0.0966763408404922,0.019224981442742425,0.02332104713257488,0.007394223631824009,0.02883329463663803,0.018239084958499224,0.004240190387740887,0.002464741210608003,0.0,0.00012213736863536662,0.3542857142857143,0.5141569158744582,0.8292063492063493,0.25671789936918676,0.06349206349206349,0.12506866548261542,0.25396825396825395,0.19335938389122026,254.5079365079365,206.4848632923131,0.0,7.45058065243498e-09,0.22206349206349205,0.5122166616634776,0.8085714285714286,0.9374516095979415,0.0,7.629394588093419e-06,0.0,0.0644531254802132,67.33333333333333,119.19077363007347,0.3542857142857143,0.5141569158744582,0.22206349206349205,0.5122166616634776,23.555555555555557,85.17808006836533,52.07936507936508,161.61797696812434,50.666666666666664,104.48559594516155,82.96825396825396,182.88115145177508,1.7777777777777777,1.5787140248620064,2.6031746031746033,4.889471217166418,7.285714285714286,22.619928819089598,18.063492063492063,43.49607498568352,16.61904761904762,33.565910649045634,28.476190476190474,55.44211817862182,0.4444444444444444,0.8179407180692309,0.6984126984126984,0.905358798096767,14.603174603174603,44.14929884783401,39.46031746031746,106.43810724793454,7.317460317460317,36.90535768796025,9.777777777777779,50.4704113488675,1.6349206349206349,4.123423532571074,2.8412698412698414,4.709458371322292,17.80952380952381,62.60209377558599,45.03174603174603,133.23958885848216,3.015873015873016,17.080999546356495,4.158730158730159,21.12625990902081,2.7301587301587302,5.494986746422848,2.888888888888889,7.252128200621368,4.142857142857143,9.69991677775917,12.936507936507937,28.760027250349726,2.3968253968253967,12.31080515169207,3.3333333333333335,14.10876430652115,0.746031746031746,0.609206889638356,1.7936507936507937,0.6272834288126485,4.873015873015873,11.496357988539025,14.88888888888889,30.08795347130264,1.4603174603174602,7.966629393150131,2.0952380952380953,9.498616579909747,0.9523809523809523,3.156941437400441,1.0793650793650793,3.9095049344711374
Andre Fili,Christian Rodriguez,Mike Beltran,1,2025-08-09,71.0,145.0,74.0,Orthodox,3.87,0.37,4.23,0.51,2.22,0.45,0.71,0.2,67.0,145.0,71.0,Orthodox,3.85,0.5,2.85,0.56,1.75,0.4,0.67,1.1,35.123887748117724,27.644079397672826,4.0,3.0,0.0,7.479808350444898,0.020000000000000018,-0.13,1.3800000000000003,-0.050000000000000044,0.4700000000000002,0.04999999999999999,0.039999999999999925,-0.9000000000000001,168.0,133.0,35.0,12,12,24,5,3,8,7,9,16,0,0,0.11018142489671838,0.1392703278201446,0.010534141398394264,0.01808705556105774,0.12043085977083173,0.10309621669802913,0.01452003273832723,0.02025750222838467,0.0632048483903656,0.06330469446370209,0.012811793592641672,0.014469644448846193,0.020214163223945748,0.02423665445181737,0.0056941304856185215,0.03979152223432703,0.09401417338932594,0.0,0.3465381578527783,0.5834117647058823,0.691871669528533,0.4454106280193237,0.03131127544112655,1.0862745098039215,0.03516054363015554,1.1647058823529413,80.36310531873139,283.64313725490194,0.06276417152668068,0.0,0.33653085091893975,0.5860392156862745,0.6297088970250037,0.29504950495049503,0.0,1.0470588235294118,0.001953363535008641,0.3764705882352941,13.462340203663123,86.8313725490196,0.3465381578527783,0.5834117647058823,0.33653085091893975,0.5860392156862745,25.556617293156226,53.55294117647059,62.87934910531933,90.23529411764706,27.405072593991314,67.13725490196079,65.37869360319934,105.83921568627451,1.0262076870326808,3.631372549019608,3.3732917531306597,8.760784313725491,11.280320661087076,12.286274509803922,31.743301018673243,23.027450980392157,11.99276393608832,13.729411764705882,32.52362421295787,24.619607843137256,0.5064103309160668,0.7843137254901961,0.8042793157267163,3.152941176470588,18.54779205011082,34.62352941176471,51.696577888523215,70.10196078431373,5.412741864487044,15.690196078431372,9.017899693125468,16.76078431372549,1.5960833785583604,3.23921568627451,2.164871523670645,3.372549019607843,20.8643321314056,29.988235294117647,56.40612348354599,59.61176470588235,3.8532426269795077,16.16470588235294,5.433136012145043,19.992156862745098,0.8390425347711167,7.4,1.0400896096282966,10.631372549019607,7.7729847295871215,6.603921568627451,25.69685183148693,16.67450980392157,2.859284094529396,5.047058823529412,5.1438608851349885,5.584313725490196,0.648051836970558,0.6352941176470588,0.9025883020513238,0.7686274509803922,9.255292430835512,6.376470588235295,29.254936352666398,15.941176470588236,1.2583242212727201,5.650980392156863,1.5240608766115233,6.811764705882353,0.7667040089788443,0.25882352941176473,0.9643037893953198,0.27450980392156865
Miles Johns,Jean Matsumoto,Herb Dean,0,2025-08-09,67.0,135.0,68.0,Orthodox,3.38,0.44,2.99,0.66,1.29,0.26,0.83,0.0,66.0,135.0,68.0,Orthodox,5.43,0.41,5.43,0.48,2.14,0.41,0.53,0.6,31.362080766598222,25.916495550992472,1.0,0.0,0.0,5.44558521560575,-2.05,0.030000000000000027,-2.4399999999999995,0.18000000000000005,-0.8500000000000001,-0.14999999999999997,0.29999999999999993,-0.6,238.0,168.0,70.0,7,3,10,2,1,3,5,2,7,0,0,0.10777346137058053,0.20951906824424252,0.01402968136185072,0.01582004014367209,0.09533806198166739,0.20951906824424252,0.02104452204277608,0.018521022607225858,0.04113247490178961,0.0825728924572153,0.008290266259275425,0.01582004014367209,0.026465080750763856,0.020450295795478555,0.0,0.023151278259032324,0.011730205278592375,0.0,0.3333431085043988,0.4428571428571428,0.05545903257650543,0.5114285714285715,0.0,0.14285714285714285,0.6265884652981427,0.0,119.82795698924731,263.14285714285717,0.0,0.0,0.3329032258064516,0.38285714285714284,0.0,0.44857142857142857,0.0,0.0,0.0,0.0,34.748778103616814,152.14285714285714,0.3333431085043988,0.4428571428571428,0.3329032258064516,0.38285714285714284,36.43499511241447,72.14285714285714,114.26490713587488,165.85714285714286,44.66177908113392,99.85714285714286,126.06842619745845,199.0,0.40762463343108507,4.571428571428571,3.047898338220919,8.285714285714286,9.696969696969697,10.571428571428571,30.795698924731184,27.714285714285715,11.085043988269796,26.285714285714285,32.43401759530792,46.42857142857143,0.0,1.2857142857142858,0.1681329423264907,3.142857142857143,25.946236559139784,43.714285714285715,99.92766373411534,127.42857142857143,5.26099706744868,7.0,7.349951124144672,10.714285714285714,5.227761485826002,21.428571428571427,6.987292277614858,27.714285714285715,35.57184750733138,65.57142857142857,111.7781036168133,156.28571428571428,0.6715542521994134,6.428571428571429,2.0439882697947214,9.428571428571429,0.19159335288367546,0.14285714285714285,0.44281524926686217,0.14285714285714285,6.711632453567938,4.714285714285714,26.664711632453567,19.714285714285715,1.4545454545454546,2.0,1.8416422287390029,2.7142857142857144,1.530791788856305,3.857142857142857,2.289345063538612,5.285714285714286,9.558162267839688,7.428571428571429,30.36754643206256,24.285714285714285,0.13880742913000976,3.142857142857143,0.30303030303030304,3.4285714285714284,0.0,0.0,0.12512218963831867,0.0
Elijah Smith,Toshiomi Kazama,Chris Tognoni,1,2025-08-09,69.0,135.0,71.0,Orthodox,4.45,0.47,3.4,0.47,3.51,0.53,0.57,0.9,67.0,135.0,69.0,Orthodox,1.49,0.53,4.56,0.38,1.94,0.16,0.66,1.0,22.926762491444215,28.23545516769336,2.0,2.0,0.0,-5.308692676249144,2.96,-0.06000000000000005,-1.1599999999999997,0.08999999999999997,1.5699999999999998,0.37,-0.09000000000000008,-0.09999999999999998,175.0,364.0,-189.0,1,0,1,1,2,3,0,-2,-2,1,1,0.19409631000716507,0.05277053233782605,0.020500059708621926,0.01877072626781732,0.14829830427513735,0.16149907883254144,0.020500059708621926,0.013458256569378454,0.1530961905899212,0.06870794143314263,0.02311708860759494,0.005666634345001455,0.024861774540243613,0.023374866673131,0.03925543348459518,0.03541646465625909,0.0,0.0,0.41,0.4228571428571429,0.75,0.07333333333333333,1.0,0.5714285714285714,2.0,0.5714285714285714,173.0,148.0,0.0,0.0,0.44,0.48,1.0,0.08,0.0,0.0,0.0,0.5714285714285714,17.0,142.28571428571428,0.41,0.4228571428571429,0.44,0.48,40.0,6.0,97.0,13.142857142857142,52.0,43.142857142857146,110.0,58.285714285714285,3.0,0.5714285714285714,4.0,5.714285714285714,19.0,6.0,43.0,12.571428571428571,19.0,22.571428571428573,43.0,36.57142857142857,1.0,0.5714285714285714,1.0,5.142857142857143,29.0,4.0,81.0,10.571428571428571,2.0,0.8571428571428571,3.0,1.4285714285714286,9.0,1.1428571428571428,13.0,1.1428571428571428,37.0,4.857142857142857,94.0,11.714285714285714,3.0,0.0,3.0,0.2857142857142857,0.0,1.1428571428571428,0.0,1.1428571428571428,13.0,4.0,33.0,10.0,1.0,0.8571428571428571,2.0,1.4285714285714286,5.0,1.1428571428571428,8.0,1.1428571428571428,18.0,4.857142857142857,42.0,11.142857142857142,1.0,0.0,1.0,0.2857142857142857,0.0,1.1428571428571428,0.0,1.1428571428571428
Gabriella Fernandes,Julija Stoliarenko,Mike Beltran,1,2025-08-09,66.0,125.0,66.0,Southpaw,3.56,0.48,5.19,0.52,0.44,0.18,0.68,0.2,67.0,125.0,66.0,Orthodox,2.74,0.38,4.45,0.46,0.78,0.2,0.54,1.4,31.98904859685147,32.336755646817245,-1.0,0.0,0.0,-0.3477070499657735,0.8199999999999998,0.09999999999999998,0.7400000000000002,0.06,-0.34,-0.020000000000000018,0.14,-1.2,259.0,553.0,-294.0,2,2,4,2,6,8,0,-4,-4,2,0,0.11128808627182472,0.08473329946659895,0.01500513522766176,0.011751333502667006,0.1622430246490928,0.13761430022860047,0.016255563163300242,0.014225298450596903,0.01375470729202328,0.024121158242316487,0.00562692571037316,0.006184912369824741,0.021257274905854162,0.0166992633985268,0.006252139678192401,0.04329438658877318,0.5333333333333333,0.0,0.388,0.33513725490196083,0.07692307692307693,0.47562753036437244,0.5333333333333333,1.9176470588235295,0.0,0.01568627450980392,59.2,125.66274509803921,0.0,0.0,0.33866666666666667,0.3359607843137255,0.0,0.6282926829268293,0.0,0.40784313725490196,0.0,0.0,10.933333333333334,61.568627450980394,0.388,0.33513725490196083,0.33866666666666667,0.3359607843137255,46.13333333333333,14.827450980392157,103.86666666666666,46.69019607843137,53.6,20.03921568627451,113.2,54.180392156862744,0.5333333333333333,0.9568627450980393,3.2666666666666666,3.2705882352941176,16.266666666666666,7.780392156862745,41.666666666666664,25.23921568627451,17.933333333333334,9.443137254901961,43.93333333333333,27.623529411764707,0.0,0.9411764705882353,1.4,1.7176470588235293,32.8,7.392156862745098,86.46666666666667,32.69019607843137,7.866666666666666,4.443137254901961,9.733333333333333,7.027450980392157,5.466666666666667,2.992156862745098,7.666666666666667,6.972549019607843,39.53333333333333,12.07843137254902,93.93333333333334,42.36470588235294,6.6,2.615686274509804,9.4,4.176470588235294,0.0,0.13333333333333333,0.5333333333333333,0.14901960784313725,12.733333333333333,3.43921568627451,35.53333333333333,17.470588235294116,1.8,1.4745098039215687,3.0,2.9490196078431374,1.7333333333333334,2.8666666666666667,3.1333333333333333,4.819607843137255,13.866666666666667,7.2,37.93333333333333,23.623529411764707,2.4,0.5176470588235295,3.7333333333333334,1.5529411764705883,0.0,0.06274509803921569,0.0,0.06274509803921569
Cody Brundage,Eric McConico,Chris Tognoni,0,2025-08-09,72.0,185.0,72.0,Orthodox,2.2,0.51,2.72,0.49,2.05,0.46,0.68,0.6,72.0,185.0,77.0,Southpaw,1.51,0.36,2.48,0.52,0.0,0.0,0.57,0.0,31.23340177960301,35.252566735112936,0.0,-5.0,0.0,-4.019164955509925,0.6900000000000002,0.15000000000000002,0.2400000000000002,-0.030000000000000027,2.05,0.46,0.1100000000000001,0.6,56.0,168.0,-112.0,7,5,12,0,1,1,7,4,11,3,0,0.07043741234221601,0.042833760484622556,0.016328672861150074,0.010212022367194781,0.08708625525946706,0.07034948741845293,0.015688332748948108,0.014750698974836905,0.06563486150070126,0.0,0.014727822580645164,0.0,0.021771563814866765,0.01616903541472507,0.019210203366058907,0.0,0.2549450549450549,0.0,0.4777338217338218,0.38,0.12309859154929577,,0.012454212454212455,0.0,0.007814407814407814,0.0,17.604151404151406,0.0,0.2549450549450549,0.0,0.5233040293040294,0.4,0.13218714768883877,,0.0007326007326007326,0.0,0.007814407814407814,0.0,16.346520146520145,0.0,0.4777338217338218,0.38,0.5233040293040294,0.4,26.81904761904762,5.0,54.95115995115995,13.0,35.06105006105006,6.0,64.02100122100123,16.0,0.06984126984126984,0.0,0.46324786324786327,0.0,17.17167277167277,4.0,31.489133089133087,10.0,24.344810744810744,5.0,39.46568986568987,13.0,0.06202686202686203,0.0,0.43956043956043955,0.0,19.274725274725274,1.0,43.63052503052503,5.0,1.4791208791208792,1.0,4.739194139194139,3.0,6.065201465201465,3.0,6.581440781440781,5.0,23.475213675213674,5.0,50.50622710622711,13.0,1.877899877899878,0.0,2.6293040293040293,0.0,1.4659340659340658,0.0,1.8156288156288156,0.0,12.69108669108669,0.0,24.756288156288157,3.0,0.9162393162393162,1.0,2.6678876678876677,2.0,3.5643467643467646,3.0,4.064957264957265,5.0,14.393894993894994,4.0,27.610500610500612,10.0,1.3145299145299145,0.0,2.065689865689866,0.0,1.4632478632478632,0.0,1.812942612942613,0.0
