name,record,height,weight,reach,stance,dob,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,url
Scott Ferrozzo,4-2-0,"5' 11""",323 lbs.,--,Orthodox,"Apr 26, 1965",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/977081bc01197656
Carl Seumanutafa,10-8-0,"6' 1""",255 lbs.,--,Orthodox,"Jun 15, 1983",:0.00,:0%,:3.33,:75%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/dadaeb402526dca5
Carlton Jones,1-4-0,"6' 1""",225 lbs.,--,Orthodox,--,:2.32,:41%,:3.58,:56%,:4.02,:50%,:57%,:2.7,http://ufcstats.com/fighter-details/f117c3e8c1aa7b9e
Julia Avila,9-4-0,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",:2.81,:42%,:3.28,:55%,:0.63,:37%,:52%,:0.2,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
Jason Witt,19-9-0,"5' 10""",170 lbs.,"70""",Orthodox,"Nov 07, 1986",:2.15,:44%,:2.54,:52%,:6.90,:48%,:100%,:0.9,http://ufcstats.com/fighter-details/5f3805dda9661cba
Ti Haitao,16-6-0,--,135 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/3848cd6cac73e091
Deiveson Figueiredo,24-5-1,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",:2.82,:54%,:3.64,:49%,:1.69,:35%,:58%,:1.4,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
Jim Alers,13-3-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",:2.90,:40%,:4.38,:56%,:2.26,:41%,:80%,:0.3,http://ufcstats.com/fighter-details/fe5a9547479396ab
Ryan Janes,10-3-0,"6' 3""",185 lbs.,"76""",Orthodox,"Aug 22, 1981",:7.69,:48%,:5.53,:59%,:0.35,:100%,:58%,:0.0,http://ufcstats.com/fighter-details/b59037262c8fe060
Sean O'Malley,18-3-0 (1 NC),"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",:6.30,:61%,:3.48,:60%,:0.27,:42%,:61%,:0.3,http://ufcstats.com/fighter-details/b50a426a33da0012
Gustavo Lopez,12-6-1,"5' 5""",135 lbs.,"67""",Orthodox,"Jun 27, 1989",:2.48,:40%,:3.87,:57%,:1.74,:41%,:31%,:0.7,http://ufcstats.com/fighter-details/93b62c5f2ba18e51
Tim Catalfo,4-2-0,"5' 11""",235 lbs.,--,Orthodox,--,:0.39,:100%,:0.77,:33%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/6ca68b636fbc1f18
Corey Anderson,14-5-0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",:4.43,:46%,:2.22,:59%,:4.89,:50%,:83%,:0.0,http://ufcstats.com/fighter-details/5e4eec08896c9423
David Mgoyan,7-1-0,"5' 9""",145 lbs.,"70""",Orthodox,"Jun 25, 2004",:5.67,:44%,:7.53,:48%,:2.00,:16%,:100%,:1.0,http://ufcstats.com/fighter-details/8f003ef7e0d9a139
Ahmad Hassanzada,11-3-0,"6' 1""",155 lbs.,"75""",Orthodox,"Nov 20, 1996",:3.16,:39%,:4.42,:38%,:2.43,:19%,:0%,:1.2,http://ufcstats.com/fighter-details/bf7a64d9ae343e86
Kaynan Kruschewsky,15-3-0 (1 NC),"6' 0""",155 lbs.,"73""",Orthodox,"Apr 04, 1991",:5.67,:50%,:5.71,:46%,:2.74,:100%,:75%,:2.1,http://ufcstats.com/fighter-details/ca36633b80be4a78
Ricky Rainey,12-6-0,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983",:2.55,:48%,:2.62,:46%,:0.95,:18%,:55%,:0.0,http://ufcstats.com/fighter-details/9b1e3fb4f8cbd5b7
Joe Cason,9-1-0,"6' 3""",205 lbs.,--,,"Jan 19, 1988",:4.17,:55%,:10.83,:23%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2b1c6f28039efe36
John Kelly,5-4-0,"5' 9""",170 lbs.,--,,"Aug 02, 1978",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ace83095105dd205
Roberto Romero,8-5-1,"5' 8""",145 lbs.,"70""",Orthodox,"Jan 30, 2000",:4.56,:49%,:6.44,:44%,:0.00,:0%,:71%,:0.0,http://ufcstats.com/fighter-details/15ea371202eb25e1
Loopy Godinez,14-5-0,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",:4.51,:49%,:4.03,:62%,:2.96,:41%,:81%,:0.9,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
Landon Showalter,11-19-1,"6' 0""",185 lbs.,--,,"Jun 14, 1976",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/35cc17760b06f36d
Frank Hamaker,1-0-0,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/c3c23c99477c041b
Rafael Freitas,3-6-0 (1 NC),--,205 lbs.,--,Orthodox,--,:2.00,:29%,:8.00,:51%,:11.25,:50%,:0%,:0.0,http://ufcstats.com/fighter-details/14b9e0f2679a2205
