p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Cory Sandhagen,Deiveson Figueiredo,0,0,54 of 87,6 of 9,62%,66%,92 of 149,8 of 11,2 of 2,2 of 5,100%,40%,0,0,1,1,5:07,0:31,0,0,31 of 39,2 of 2,79%,100%,53 of 78,3 of 3,1 of 1,1 of 4,100%,25%,0,0,0,0,3:37,0:04,54 of 87,6 of 9,62%,66%,33 of 65,4 of 6,2 of 2,0 of 0,19 of 20,2 of 3,24 of 43,4 of 7,0 of 0,2 of 2,30 of 44,0 of 0,31 of 39,2 of 2,79%,100%,22 of 30,1 of 1,1 of 1,0 of 0,8 of 8,1 of 1,10 of 13,1 of 1,0 of 0,1 of 1,21 of 26,0 of 0,KO/TKO,Dan Miragliotta,1,"May 03, 2025"
Reinier de Ridder,Bo Nickal,1,0,22 of 32,8 of 21,68%,38%,91 of 104,24 of 40,0 of 3,1 of 1,0%,100%,0,0,0,0,2:09,2:24,0,0,5 of 10,2 of 6,50%,33%,43 of 49,17 of 24,0 of 2,1 of 1,0%,100%,0,0,0,0,1:52,2:00,22 of 32,8 of 21,68%,38%,9 of 18,2 of 13,13 of 14,4 of 5,0 of 0,2 of 3,7 of 15,3 of 14,15 of 17,5 of 7,0 of 0,0 of 0,5 of 10,2 of 6,50%,33%,2 of 7,1 of 5,3 of 3,1 of 1,0 of 0,0 of 0,1 of 5,0 of 4,4 of 5,2 of 2,0 of 0,0 of 0,KO/TKO,Mike Beltran,1,"May 03, 2025"
Santiago Ponzinibbio,Daniel Rodriguez,0,1,49 of 111,66 of 166,44%,39%,50 of 115,70 of 170,1 of 8,0 of 0,12%,---,0,0,0,0,0:44,0:07,0,0,15 of 35,35 of 81,42%,43%,15 of 35,35 of 81,0 of 2,0 of 0,0%,---,0,0,0,0,0:02,0:07,49 of 111,66 of 166,44%,39%,31 of 83,39 of 131,6 of 16,20 of 25,12 of 12,7 of 10,49 of 111,64 of 164,0 of 0,1 of 1,0 of 0,1 of 1,15 of 35,35 of 81,42%,43%,5 of 19,20 of 61,3 of 9,13 of 16,7 of 7,2 of 4,15 of 35,34 of 80,0 of 0,1 of 1,0 of 0,0 of 0,KO/TKO,Kevin MacDonald,0,"May 03, 2025"
Montel Jackson,Daniel Marcos,0,0,30 of 66,17 of 32,45%,53%,67 of 106,24 of 43,2 of 8,3 of 7,25%,42%,1,0,0,0,3:37,5:45,0,0,4 of 12,4 of 7,33%,57%,22 of 31,7 of 11,1 of 4,1 of 1,25%,100%,0,0,0,0,2:07,1:26,30 of 66,17 of 32,45%,53%,25 of 58,5 of 18,1 of 3,5 of 7,4 of 5,7 of 7,27 of 62,13 of 27,3 of 4,3 of 4,0 of 0,1 of 1,4 of 12,4 of 7,33%,57%,2 of 8,2 of 4,1 of 2,1 of 2,1 of 2,1 of 1,3 of 11,3 of 6,1 of 1,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Gary Copeland,1,"May 03, 2025"
Cameron Smotherman,Serhiy Sidey,0,0,58 of 134,55 of 132,43%,41%,61 of 137,66 of 149,0 of 0,5 of 12,---,41%,0,1,0,0,0:00,4:12,0,0,22 of 43,27 of 50,51%,54%,25 of 46,28 of 51,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:55,58 of 134,55 of 132,43%,41%,43 of 114,30 of 98,15 of 20,15 of 22,0 of 0,10 of 12,53 of 124,49 of 122,5 of 10,6 of 10,0 of 0,0 of 0,22 of 43,27 of 50,51%,54%,16 of 34,12 of 33,6 of 9,7 of 8,0 of 0,8 of 9,22 of 40,23 of 45,0 of 3,4 of 5,0 of 0,0 of 0,Decision - Unanimous,Dan Miragliotta,0,"May 03, 2025"
Jeremy Stephens,Mason Jones,0,0,42 of 108,81 of 231,38%,35%,54 of 126,104 of 261,0 of 0,8 of 12,---,66%,0,0,0,0,0:11,6:03,0,0,21 of 47,39 of 103,44%,37%,24 of 53,41 of 108,0 of 0,2 of 2,---,100%,0,0,0,0,0:00,0:43,42 of 108,81 of 231,38%,35%,19 of 79,50 of 188,7 of 11,19 of 28,16 of 18,12 of 15,41 of 105,74 of 220,1 of 3,5 of 7,0 of 0,2 of 4,21 of 47,39 of 103,44%,37%,6 of 28,22 of 80,3 of 6,9 of 13,12 of 13,8 of 10,20 of 45,36 of 100,1 of 2,3 of 3,0 of 0,0 of 0,Decision - Unanimous,Mike Beltran,0,"May 03, 2025"
Yana Santos,Miesha Tate,0,0,66 of 117,40 of 115,56%,34%,87 of 143,108 of 204,0 of 1,1 of 7,0%,14%,0,0,0,0,0:46,5:05,0,0,31 of 61,22 of 55,50%,40%,43 of 76,33 of 72,0 of 1,0 of 2,0%,0%,0,0,0,0,0:25,0:47,66 of 117,40 of 115,56%,34%,37 of 87,25 of 88,15 of 16,8 of 17,14 of 14,7 of 10,47 of 96,29 of 100,19 of 21,8 of 10,0 of 0,3 of 5,31 of 61,22 of 55,50%,40%,14 of 44,14 of 43,9 of 9,4 of 7,8 of 8,4 of 5,19 of 47,20 of 52,12 of 14,2 of 3,0 of 0,0 of 0,Decision - Unanimous,Kevin MacDonald,1,"May 03, 2025"
Ryan Loder,Azamat Bekoev,0,2,13 of 25,23 of 46,52%,50%,15 of 27,39 of 66,0 of 4,0 of 1,0%,0%,0,0,0,0,0:13,1:04,0,2,13 of 25,23 of 46,52%,50%,15 of 27,39 of 66,0 of 4,0 of 1,0%,0%,0,0,0,0,0:13,1:04,13 of 25,23 of 46,52%,50%,6 of 15,21 of 42,7 of 10,2 of 4,0 of 0,0 of 0,6 of 17,17 of 31,7 of 8,5 of 11,0 of 0,1 of 4,13 of 25,23 of 46,52%,50%,6 of 15,21 of 42,7 of 10,2 of 4,0 of 0,0 of 0,6 of 17,17 of 31,7 of 8,5 of 11,0 of 0,1 of 4,KO/TKO,Gary Copeland,0,"May 03, 2025"
Marina Rodriguez,Gillian Robertson,0,0,4 of 17,16 of 41,23%,39%,7 of 20,73 of 120,0 of 0,2 of 3,---,66%,1,0,0,0,0:00,5:21,0,0,2 of 13,11 of 25,15%,44%,5 of 16,42 of 63,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,3:34,4 of 17,16 of 41,23%,39%,3 of 14,12 of 32,1 of 3,2 of 6,0 of 0,2 of 3,4 of 17,6 of 20,0 of 0,0 of 0,0 of 0,10 of 21,2 of 13,11 of 25,15%,44%,2 of 11,7 of 17,0 of 2,2 of 5,0 of 0,2 of 3,2 of 13,6 of 17,0 of 0,0 of 0,0 of 0,5 of 8,KO/TKO,Bruce Allen,0,"May 03, 2025"
Gaston Bolanos,Quang Le,0,0,5 of 20,10 of 14,25%,71%,8 of 23,33 of 38,0 of 0,4 of 7,---,57%,0,1,0,0,0:00,5:46,0,0,0 of 4,2 of 3,0%,66%,3 of 7,20 of 21,0 of 0,3 of 5,---,60%,0,0,0,0,0:00,4:24,5 of 20,10 of 14,25%,71%,1 of 11,9 of 13,1 of 2,1 of 1,3 of 7,0 of 0,5 of 20,10 of 14,0 of 0,0 of 0,0 of 0,0 of 0,0 of 4,2 of 3,0%,66%,0 of 2,2 of 3,0 of 0,0 of 0,0 of 2,0 of 0,0 of 4,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,Submission,Tyrone Roberts,0,"May 03, 2025"
